date,close_raw,total_mv,total_shares,pe_ttm,pe_static,pe_ex_post_ntm
2022-10-26,202.67,76447262828.95,377200685,120.59972304,161.33781778,69.0038409878701
2022-10-27,193.3,72912892410.5,377200685,89.55352622,153.87871997,65.81360074483294
2022-10-28,192.58,72641307917.3,377200685,89.21995902,153.30555557,65.56845955219828
2022-10-31,186.8,70461087958.0,377200685,86.5421557,148.70431914,63.600520533547815
2022-11-01,188.77,71204173307.45,377200685,87.45483261,150.27256062,64.27125407450653
2022-11-02,198.21,74764947773.85,377200685,91.82826918,157.78738275,67.48532748904987
2022-11-03,209.4,78985823439.0,377200685,97.01245934,166.69531279,71.29523019124686
2022-11-04,218.35,82361769569.75,377200685,101.15888489,173.82006469,74.34247140524714
2022-11-07,222.44,83904520371.4,377200685,103.05373188,177.07595691,75.73500956896346
2022-11-08,210.88,79544080452.8,377200685,97.69812524,167.87348405,71.79913153166255
2022-11-09,209.01,78838715171.85,377200685,96.83177711,166.38484874,71.16244537856976
2022-11-10,203.16,76632091164.6,377200685,94.12154364,161.72788799,69.17067318841315
2022-11-11,211.05,79608204569.25,377200685,97.77688416,168.00881453,71.85701209103462
2022-11-14,196.92,74278358890.2,377200685,91.23062795,156.7604632,67.04611618557942
2022-11-15,201.32,75938041904.2,377200685,93.26909415,160.26313453,68.54420125168012
2022-11-16,196.5,74119934602.5,377200685,91.03604709,156.4261173,66.90311715654254
2022-11-17,191.0,72045330835.0,377200685,88.48796434,152.04777814,65.03051082391666
2022-11-18,197.11,74350027020.35,377200685,91.31865263,156.91171491,67.11080622252469
2022-11-21,195.82,73863438136.7,377200685,90.7210114,155.88479537,66.67159491905424
2022-11-22,191.96,72407443492.6,377200685,88.9327206,152.81199734,65.35736574742955
2022-11-23,201.88,76149274287.8,377200685,93.5285353,160.70892906,68.7348666237293
2022-11-24,205.68,77582636890.8,377200685,95.28902883,163.73396339,70.02866736263445
2022-11-25,197.8,74610295493.0,377200685,91.63832119,157.46099746,67.34573319879956
2022-11-28,198.58,74904512027.3,377200685,91.99968565,158.08192556,67.61130282415378
2022-11-29,189.6,71517249876.0,377200685,87.83936146,150.93329181,64.55384739379372
2022-11-30,197.72,74580119438.2,377200685,91.60125817,157.39731253,67.31849528850682
